"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"PMOD_2X6_PTH_RA_SOCKET";1;"PMOD-2x6-FEMALE";;;
2;"J1";"PMOD_2X6_PTH_RA_PLUG";1;"PMOD-2x6-MALE";;;
3;"J3";"USB_MICRO_TAOBAO_SMD_PTH";1;"USB_B_Micro";;;
4;"JP2";"CONN_1.27_2x5";1;"CORTEX_DEBUGPTH";;;
5;"U1";"QFP50P900X900X120-48N";1;"ATSAMD21G-A";;;
6;"Y1";"Crystal_SMD_3215-2pin_3.2x1.5mm";1;"32.768kHz";;;
7;"C1,C2,C3,C4,C9";"C_0402";5;"0.1uF";;;
8;"C5,C6";"C_0402";2;"15pF";;;
9;"Q1";"SOT-323_SC-70_Handsoldering";1;"2N7002PW";;;
10;"R1";"R_0402";1;"10K";;;
11;"R3";"R_0402";1;"330";;;
12;"D1";"LED_0402";1;"LED";;;
13;"S1";"SW_SPST_SMD_2PIN_3.5x6.0";1;"SWITCH-MOMENTARY-2SMD";;;
14;"TP1";"Measurement_Point_Round-SMD-Pad_Small";1;"VBUS";;;
